x,y
127.6,118.0
127.6,127.6
12.400000000000006,12.400000000000006
12.400000000000006,12.400000000000006
12.400000000000006,17.200000000000003
12.400000000000006,22.0
12.400000000000006,26.800000000000004
12.400000000000006,31.6
12.400000000000006,36.4
12.400000000000006,41.2
12.400000000000006,46.0
12.400000000000006,50.8
12.400000000000006,55.6
12.400000000000006,60.4
12.400000000000006,65.2
12.400000000000006,70.0
12.400000000000006,74.8
12.400000000000006,79.6
12.400000000000006,84.4
12.400000000000006,89.2
12.400000000000006,94.0
12.400000000000006,98.8
12.400000000000006,103.6
12.400000000000006,108.4
12.400000000000006,113.19999999999999
12.400000000000006,118.0
12.400000000000006,122.8
12.400000000000006,122.8
17.200000000000003,12.400000000000006
17.200000000000003,127.6
22.0,12.400000000000006
22.0,127.6
26.800000000000004,12.400000000000006
26.800000000000004,127.6
31.6,12.400000000000006
31.6,127.6
36.4,12.400000000000006
36.4,127.6
41.2,12.400000000000006
41.2,127.6
46.0,12.400000000000006
46.0,127.6
50.8,12.400000000000006
50.8,127.6
55.6,12.400000000000006
55.6,127.6
60.4,12.400000000000006
60.4,127.6
65.2,12.400000000000006
65.2,127.6
70.0,12.400000000000006
70.0,127.6
70.0,127.6
74.8,12.400000000000006
74.8,127.6
79.6,12.400000000000006
79.6,127.6
84.4,12.400000000000006
84.4,127.6
89.2,12.400000000000006
89.2,127.6
94.0,12.400000000000006
94.0,127.6
98.8,12.400000000000006
98.8,127.6
103.6,12.400000000000006
103.6,127.6
108.4,12.400000000000006
108.4,127.6
113.19999999999999,12.400000000000006
113.19999999999999,127.6
118.0,12.400000000000006
118.0,127.6
122.8,12.400000000000006
122.8,127.6
127.6,12.400000000000006
127.6,12.400000000000006
127.6,17.200000000000003
127.6,22.0
127.6,26.800000000000004
127.6,31.6
127.6,36.4
127.6,41.2
127.6,46.0
127.6,50.8
127.6,55.6
127.6,60.4
127.6,65.2
127.6,70.0
127.6,74.8
127.6,79.6
127.6,84.4
127.6,89.2
127.6,94.0
127.6,98.8
127.6,103.6
127.6,108.4
127.6,113.19999999999999
127.6,118.0
127.6,122.8
127.6,127.6
